CNPJ;Farmácia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
4,29117E+13;DROGARIA CARLOS LUZ LTDA;PADRE EUSTAQUIO;CARLOS PRATES;Belo Horizonte;MG;-19,9134595;-43,9672722;PADRE EUSTAQUIO, CARLOS PRATES, Belo Horizonte, MG, Brasil
1,47878E+13;DROGARIA CATIZANI LTDA - ME;RUA PAULO ALVES DA SILVA 539 Loja;MANTIQUEIRA;Belo Horizonte;MG;-19,7928705;-43,9833316;RUA PAULO ALVES DA SILVA 539 Loja, MANTIQUEIRA, Belo Horizonte, MG, Brasil
2,40577E+13;DROGARIA COLIBRI LTDA ME;VINTE E OITO DE SETEMBRO;ESPLANADA;Belo Horizonte;MG;-19,9054992;-43,9042678;VINTE E OITO DE SETEMBRO, ESPLANADA, Belo Horizonte, MG, Brasil
1,89859E+13;DROGARIA CONECT LTDA - ME;DO CONTORNO;FLORESTA;Belo Horizonte;MG;-19,9134329;-43,9295357;DO CONTORNO, FLORESTA, Belo Horizonte, MG, Brasil
5,45396E+12;DROGARIA COOPFARMA LTDA - ME;PROFESSORA GABRIELA VARELA;FLORAMAR;Belo Horizonte;MG;-19,8288016;-43,9322124;PROFESSORA GABRIELA VARELA, FLORAMAR, Belo Horizonte, MG, Brasil
2,13977E+13;DROGARIA CORDEIRO LTDA;GABRIELA VARELO;FLORAMAR;Belo Horizonte;MG;-19,8371027;-43,9348625;GABRIELA VARELO, FLORAMAR, Belo Horizonte, MG, Brasil
2,13224E+13;DROGARIA CRUZ LTDA-ME;LUPERCIO PAIXAO;TIROL (BARREIRO);Belo Horizonte;MG;-19,9951468;-44,0451401;LUPERCIO PAIXAO, TIROL (BARREIRO), Belo Horizonte, MG, Brasil
2,40192E+13;DROGARIA DA PAZ LTDA;FLOR-DE-SEDA;LINDEIA (BARREIRO);Belo Horizonte;MG;-19,9812291;-44,0441997;FLOR-DE-SEDA, LINDEIA (BARREIRO), Belo Horizonte, MG, Brasil
1,39331E+13;DROGARIA DAL-COL & CUNHA LTDA - ME;SENADOR LEVINDO COELHO;PETROPOLIS (BARREIRO);Belo Horizonte;MG;-20,0115152;-44,033157;SENADOR LEVINDO COELHO, PETROPOLIS (BARREIRO), Belo Horizonte, MG, Brasil
9,14601E+12;DROGARIA DARLENE LTDA;PERIMETRAL;VILA FORMOSA VALE DO JATOBA (BARREIRO);Belo Horizonte;MG;;;PERIMETRAL, VILA FORMOSA VALE DO JATOBA (BARREIRO), Belo Horizonte, MG, Brasil
1,76391E+13;DROGARIA DAS AMERICAS LTDA;MARIA;SANTA MARIA;Belo Horizonte;MG;-19,9352156;-44,0129035;MARIA, SANTA MARIA, Belo Horizonte, MG, Brasil
1,55611E+12;DROGARIA DECAM LTDA;DOS GUAJAJARAS;BOA VIAGEM;Belo Horizonte;MG;-19,9264648;-43,9353538;DOS GUAJAJARAS, BOA VIAGEM, Belo Horizonte, MG, Brasil
1,55611E+12;DROGARIA DECAM LTDA;GAVEA;JARDIM AMERICA;Belo Horizonte;MG;-19,9388489;-43,9752421;GAVEA, JARDIM AMERICA, Belo Horizonte, MG, Brasil
